year,mode_of_transport,travel_time,sex,count
2010,  Public Bus Only,  Up To 15,female,21757
2010,  MRT Only,  Up To 15,female,1999
2010,  MRT & Public Bus Only,  Up To 15,female,1213
2010,  Other combinations of MRT/LRT or Public Bus,  Up To 15,female,170
2010,  Taxi Only,  Up To 15,female,560
2010,  Car Only,  Up To 15,female,25226
2010,  Private Chartered Bus/Van Only,  Up To 15,female,12671
2010,  Lorry/Pickup Only,  Up To 15,female,611
2010,  Motorcycle/Scooter Only,  Up To 15,female,444
2010,  Others,  Up To 15,female,6677
2010,  No Transport Required,  Up To 15,female,88775
2010,  Public Bus Only,  16 - 30,female,44328
2010,  MRT Only,  16 - 30,female,7984
2010,  MRT & Public Bus Only,  16 - 30,female,12266
2010,  Other combinations of MRT/LRT or Public Bus,  16 - 30,female,815
2010,  Taxi Only,  16 - 30,female,295
2010,  Car Only,  16 - 30,female,16501
2010,  Private Chartered Bus/Van Only,  16 - 30,female,16883
2010,  Lorry/Pickup Only,  16 - 30,female,252
2010,  Motorcycle/Scooter Only,  16 - 30,female,214
2010,  Others,  16 - 30,female,7788
2010,  No Transport Required,  16 - 30,female,7807
2010,  Public Bus Only,  31 - 45,female,17038
2010,  MRT Only,  31 - 45,female,5671
2010,  MRT & Public Bus Only,  31 - 45,female,14247
2010,  Other combinations of MRT/LRT or Public Bus,  31 - 45,female,673
2010,  Taxi Only,  31 - 45,female,39
2010,  Car Only,  31 - 45,female,2317
2010,  Private Chartered Bus/Van Only,  31 - 45,female,5434
2010,  Lorry/Pickup Only,  31 - 45,female,65
2010,  Motorcycle/Scooter Only,  31 - 45,female,37
2010,  Others,  31 - 45,female,3398
2010,  No Transport Required,  31 - 45,female,63
2010,  Public Bus Only,  46 - 60,female,13755
2010,  MRT Only,  46 - 60,female,5310
2010,  MRT & Public Bus Only,  46 - 60,female,17323
2010,  Other combinations of MRT/LRT or Public Bus,  46 - 60,female,638
2010,  Taxi Only,  46 - 60,female,60
2010,  Car Only,  46 - 60,female,497
2010,  Private Chartered Bus/Van Only,  46 - 60,female,2785
2010,  Lorry/Pickup Only,  46 - 60,female,6
2010,  Motorcycle/Scooter Only,  46 - 60,female,0
2010,  Others,  46 - 60,female,2376
2010,  No Transport Required,  46 - 60,female,0
2010,  Public Bus Only,  More Than 60,female,4436
2010,  MRT Only,  More Than 60,female,1698
2010,  MRT & Public Bus Only,  More Than 60,female,12201
2010,  Other combinations of MRT/LRT or Public Bus,  More Than 60,female,229
2010,  Taxi Only,  More Than 60,female,6
2010,  Car Only,  More Than 60,female,74
