year,mode_of_transport,education_level,sex,count
2010,  Public Bus Only,Pre-Primary,female,1641
2010,  MRT/LRT Only,Pre-Primary,female,124
2010,  MRT/LRT & Public Bus Only,Pre-Primary,female,232
2010,  Other combinations of MRT/LRT or Public Bus,Pre-Primary,female,25
2010,  Taxi/Private Hire Car Only,Pre-Primary,female,113
2010,  Car Only,Pre-Primary,female,5412
2010,  Private Chartered Bus/Van Only,Pre-Primary,female,5500
2010,  Lorry/Pickup Only,Pre-Primary,female,101
2010,  Motorcycle/Scooter Only,Pre-Primary,female,0
2010,  Others,Pre-Primary,female,1121
2010,  No Transport Required,Pre-Primary,female,15077
2010,  Public Bus Only,Primary,female,16393
2010,  MRT/LRT Only,Primary,female,812
2010,  MRT/LRT & Public Bus Only,Primary,female,1657
2010,  Other combinations of MRT/LRT or Public Bus,Primary,female,138
2010,  Taxi/Private Hire Car Only,Primary,female,341
2010,  Car Only,Primary,female,18261
2010,  Private Chartered Bus/Van Only,Primary,female,29531
2010,  Lorry/Pickup Only,Primary,female,426
2010,  Motorcycle/Scooter Only,Primary,female,248
2010,  Others,Primary,female,7717
2010,  No Transport Required,Primary,female,59994
2010,  Public Bus Only,Secondary,female,46854
2010,  MRT/LRT Only,Secondary,female,6041
2010,  MRT/LRT & Public Bus Only,Secondary,female,13784
2010,  Other combinations of MRT/LRT or Public Bus,Secondary,female,815
2010,  Taxi/Private Hire Car Only,Secondary,female,252
2010,  Car Only,Secondary,female,14154
2010,  Private Chartered Bus/Van Only,Secondary,female,2797
2010,  Lorry/Pickup Only,Secondary,female,358
2010,  Motorcycle/Scooter Only,Secondary,female,202
2010,  Others,Secondary,female,7563
2010,  No Transport Required,Secondary,female,19300
2010,  Public Bus Only,Post-Secondary (Non-tertiary),female,10055
2010,  MRT/LRT Only,Post-Secondary (Non-tertiary),female,3021
2010,  MRT/LRT & Public Bus Only,Post-Secondary (Non-tertiary),female,8025
2010,  Other combinations of MRT/LRT or Public Bus,Post-Secondary (Non-tertiary),female,318
2010,  Taxi/Private Hire Car Only,Post-Secondary (Non-tertiary),female,62
2010,  Car Only,Post-Secondary (Non-tertiary),female,3233
2010,  Private Chartered Bus/Van Only,Post-Secondary (Non-tertiary),female,246
2010,  Lorry/Pickup Only,Post-Secondary (Non-tertiary),female,37
2010,  Motorcycle/Scooter Only,Post-Secondary (Non-tertiary),female,37
2010,  Others,Post-Secondary (Non-tertiary),female,1588
2010,  No Transport Required,Post-Secondary (Non-tertiary),female,989
2010,  Public Bus Only,Polytechnic,female,14143
2010,  MRT/LRT Only,Polytechnic,female,6743
2010,  MRT/LRT & Public Bus Only,Polytechnic,female,13863
2010,  Other combinations of MRT/LRT or Public Bus,Polytechnic,female,623
2010,  Taxi/Private Hire Car Only,Polytechnic,female,20
2010,  Car Only,Polytechnic,female,540
2010,  Private Chartered Bus/Van Only,Polytechnic,female,94
2010,  Lorry/Pickup Only,Polytechnic,female,6
2010,  Motorcycle/Scooter Only,Polytechnic,female,93
2010,  Others,Polytechnic,female,1320
2010,  No Transport Required,Polytechnic,female,813
2010,  Public Bus Only,Professional Qualification And Other Diploma,female,2202
2010,  MRT/LRT Only,Professional Qualification And Other Diploma,female,1749
2010,  MRT/LRT & Public Bus Only,Professional Qualification And Other Diploma,female,3361
2010,  Other combinations of MRT/LRT or Public Bus,Professional Qualification And Other Diploma,female,120
2010,  Taxi/Private Hire Car Only,Professional Qualification And Other Diploma,female,32
2010,  Car Only,Professional Qualification And Other Diploma,female,231
2010,  Private Chartered Bus/Van Only,Professional Qualification And Other Diploma,female,28
2010,  Lorry/Pickup Only,Professional Qualification And Other Diploma,female,0
2010,  Motorcycle/Scooter Only,Professional Qualification And Other Diploma,female,51
2010,  Others,Professional Qualification And Other Diploma,female,287
2010,  No Transport Required,Professional Qualification And Other Diploma,female,256
2010,  Public Bus Only,University,female,10026
2010,  MRT/LRT Only,University,female,4172
2010,  MRT/LRT & Public Bus Only,University,female,16329
2010,  Other combinations of MRT/LRT or Public Bus,University,female,485
2010,  Taxi/Private Hire Car Only,University,female,138
2010,  Car Only,University,female,2784
2010,  Private Chartered Bus/Van Only,University,female,116
2010,  Lorry/Pickup Only,University,female,6
2010,  Motorcycle/Scooter Only,University,female,63
2010,  Others,University,female,2034
2010,  No Transport Required,University,female,1367
2010,  Public Bus Only,Pre-Primary,male,1909
2010,  MRT/LRT Only,Pre-Primary,male,178
2010,  MRT/LRT & Public Bus Only,Pre-Primary,male,243
2010,  Other combinations of MRT/LRT or Public Bus,Pre-Primary,male,65
2010,  Taxi/Private Hire Car Only,Pre-Primary,male,87
2010,  Car Only,Pre-Primary,male,5711
2010,  Private Chartered Bus/Van Only,Pre-Primary,male,5594
2010,  Lorry/Pickup Only,Pre-Primary,male,163
2010,  Motorcycle/Scooter Only,Pre-Primary,male,34
2010,  Others,Pre-Primary,male,1346
2010,  No Transport Required,Pre-Primary,male,16670
2010,  Public Bus Only,Primary,male,17944
2010,  MRT/LRT Only,Primary,male,1323
2010,  MRT/LRT & Public Bus Only,Primary,male,1959
2010,  Other combinations of MRT/LRT or Public Bus,Primary,male,292
2010,  Taxi/Private Hire Car Only,Primary,male,252
2010,  Car Only,Primary,male,19659
2010,  Private Chartered Bus/Van Only,Primary,male,28809
2010,  Lorry/Pickup Only,Primary,male,545
2010,  Motorcycle/Scooter Only,Primary,male,382
2010,  Others,Primary,male,8290
2010,  No Transport Required,Primary,male,66577
2010,  Public Bus Only,Secondary,male,50775
2010,  MRT/LRT Only,Secondary,male,6281
2010,  MRT/LRT & Public Bus Only,Secondary,male,14459
2010,  Other combinations of MRT/LRT or Public Bus,Secondary,male,1055
2010,  Taxi/Private Hire Car Only,Secondary,male,322
2010,  Car Only,Secondary,male,12977
2010,  Private Chartered Bus/Van Only,Secondary,male,1821
2010,  Lorry/Pickup Only,Secondary,male,553
2010,  Motorcycle/Scooter Only,Secondary,male,272
2010,  Others,Secondary,male,8284
2010,  No Transport Required,Secondary,male,22769
2010,  Public Bus Only,Post-Secondary (Non-tertiary),male,11194
2010,  MRT/LRT Only,Post-Secondary (Non-tertiary),male,2947
2010,  MRT/LRT & Public Bus Only,Post-Secondary (Non-tertiary),male,8211
2010,  Other combinations of MRT/LRT or Public Bus,Post-Secondary (Non-tertiary),male,272
2010,  Taxi/Private Hire Car Only,Post-Secondary (Non-tertiary),male,52
2010,  Car Only,Post-Secondary (Non-tertiary),male,2373
2010,  Private Chartered Bus/Van Only,Post-Secondary (Non-tertiary),male,94
2010,  Lorry/Pickup Only,Post-Secondary (Non-tertiary),male,31
2010,  Motorcycle/Scooter Only,Post-Secondary (Non-tertiary),male,402
2010,  Others,Post-Secondary (Non-tertiary),male,1565
2010,  No Transport Required,Post-Secondary (Non-tertiary),male,1008
2010,  Public Bus Only,Polytechnic,male,15453
2010,  MRT/LRT Only,Polytechnic,male,7614
2010,  MRT/LRT & Public Bus Only,Polytechnic,male,13469
2010,  Other combinations of MRT/LRT or Public Bus,Polytechnic,male,519
2010,  Taxi/Private Hire Car Only,Polytechnic,male,40
2010,  Car Only,Polytechnic,male,813
2010,  Private Chartered Bus/Van Only,Polytechnic,male,71
2010,  Lorry/Pickup Only,Polytechnic,male,19
2010,  Motorcycle/Scooter Only,Polytechnic,male,951
2010,  Others,Polytechnic,male,1332
2010,  No Transport Required,Polytechnic,male,1039
2010,  Public Bus Only,Professional Qualification And Other Diploma,male,1954
2010,  MRT/LRT Only,Professional Qualification And Other Diploma,male,1249
2010,  MRT/LRT & Public Bus Only,Professional Qualification And Other Diploma,male,2288
2010,  Other combinations of MRT/LRT or Public Bus,Professional Qualification And Other Diploma,male,97
2010,  Taxi/Private Hire Car Only,Professional Qualification And Other Diploma,male,6
2010,  Car Only,Professional Qualification And Other Diploma,male,303
2010,  Private Chartered Bus/Van Only,Professional Qualification And Other Diploma,male,31
2010,  Lorry/Pickup Only,Professional Qualification And Other Diploma,male,0
2010,  Motorcycle/Scooter Only,Professional Qualification And Other Diploma,male,228
2010,  Others,Professional Qualification And Other Diploma,male,192
2010,  No Transport Required,Professional Qualification And Other Diploma,male,134
2010,  Public Bus Only,University,male,6714
2010,  MRT/LRT Only,University,male,3197
2010,  MRT/LRT & Public Bus Only,University,male,13051
2010,  Other combinations of MRT/LRT or Public Bus,University,male,369
2010,  Taxi/Private Hire Car Only,University,male,63
2010,  Car Only,University,male,2932
2010,  Private Chartered Bus/Van Only,University,male,65
2010,  Lorry/Pickup Only,University,male,12
2010,  Motorcycle/Scooter Only,University,male,622
2010,  Others,University,male,1601
2010,  No Transport Required,University,male,1244
2020,  Public Bus Only,Pre-Primary,female,2926
2020,  MRT/LRT Only,Pre-Primary,female,349
2020,  MRT/LRT & Public Bus Only,Pre-Primary,female,457
2020,  Other combinations of MRT/LRT or Public Bus,Pre-Primary,female,200
2020,  Taxi/Private Hire Car Only,Pre-Primary,female,220
2020,  Car Only,Pre-Primary,female,6037
2020,  Private Chartered Bus/Van Only,Pre-Primary,female,2569
2020,  Lorry/Pickup Only,Pre-Primary,female,25
2020,  Motorcycle/Scooter Only,Pre-Primary,female,17
2020,  Others,Pre-Primary,female,552
2020,  No Transport Required,Pre-Primary,female,13631
2020,  Public Bus Only,Primary,female,19157
2020,  MRT/LRT Only,Primary,female,1625
2020,  MRT/LRT & Public Bus Only,Primary,female,3501
2020,  Other combinations of MRT/LRT or Public Bus,Primary,female,1560
2020,  Taxi/Private Hire Car Only,Primary,female,887
2020,  Car Only,Primary,female,25298
2020,  Private Chartered Bus/Van Only,Primary,female,16658
2020,  Lorry/Pickup Only,Primary,female,316
2020,  Motorcycle/Scooter Only,Primary,female,270
2020,  Others,Primary,female,1731
2020,  No Transport Required,Primary,female,48635
2020,  Public Bus Only,Secondary,female,31136
2020,  MRT/LRT Only,Secondary,female,5456
2020,  MRT/LRT & Public Bus Only,Secondary,female,19478
2020,  Other combinations of MRT/LRT or Public Bus,Secondary,female,2633
2020,  Taxi/Private Hire Car Only,Secondary,female,578
2020,  Car Only,Secondary,female,11403
2020,  Private Chartered Bus/Van Only,Secondary,female,2054
2020,  Lorry/Pickup Only,Secondary,female,137
2020,  Motorcycle/Scooter Only,Secondary,female,102
2020,  Others,Secondary,female,236
2020,  No Transport Required,Secondary,female,12194
2020,  Public Bus Only,Post-Secondary (Non-tertiary),female,6323
2020,  MRT/LRT Only,Post-Secondary (Non-tertiary),female,2968
2020,  MRT/LRT & Public Bus Only,Post-Secondary (Non-tertiary),female,11826
2020,  Other combinations of MRT/LRT or Public Bus,Post-Secondary (Non-tertiary),female,1540
2020,  Taxi/Private Hire Car Only,Post-Secondary (Non-tertiary),female,82
2020,  Car Only,Post-Secondary (Non-tertiary),female,2547
2020,  Private Chartered Bus/Van Only,Post-Secondary (Non-tertiary),female,258
