year,travel_time,education_level,sex,count
2010,  Up To 15,Pre-Primary,female,21651
2010,  16 - 30,Pre-Primary,female,5765
2010,  31 - 45,Pre-Primary,female,1238
2010,  46 - 60,Pre-Primary,female,558
2010,  More Than 60,Pre-Primary,female,63
2010,  Up To 15,Primary,female,90348
2010,  16 - 30,Primary,female,33533
2010,  31 - 45,Primary,female,7015
2010,  46 - 60,Primary,female,3582
2010,  More Than 60,Primary,female,743
2010,  Up To 15,Secondary,female,39407
2010,  16 - 30,Secondary,female,46046
2010,  31 - 45,Secondary,female,15208
2010,  46 - 60,Secondary,female,8834
2010,  More Than 60,Secondary,female,2351
2010,  Up To 15,Post-Secondary (Non-Tertiary),female,3344
2010,  16 - 30,Post-Secondary (Non-Tertiary),female,9366
2010,  31 - 45,Post-Secondary (Non-Tertiary),female,6508
2010,  46 - 60,Post-Secondary (Non-Tertiary),female,5932
2010,  More Than 60,Post-Secondary (Non-Tertiary),female,2370
2010,  Up To 15,Polytechnic,female,2491
2010,  16 - 30,Polytechnic,female,10362
2010,  31 - 45,Polytechnic,female,9448
2010,  46 - 60,Polytechnic,female,11251
2010,  More Than 60,Polytechnic,female,4675
2010,  Up To 15,Professional Qualification And Other Diploma,female,473
2010,  16 - 30,Professional Qualification And Other Diploma,female,2280
2010,  31 - 45,Professional Qualification And Other Diploma,female,2193
2010,  46 - 60,Professional Qualification And Other Diploma,female,2408
2010,  More Than 60,Professional Qualification And Other Diploma,female,898
2010,  Up To 15,University,female,2390
2010,  16 - 30,University,female,7781
2010,  31 - 45,University,female,7372
2010,  46 - 60,University,female,10187
2010,  More Than 60,University,female,9474
2010,  Up To 15,Pre-Primary,male,23680
2010,  16 - 30,Pre-Primary,male,6141
2010,  31 - 45,Pre-Primary,male,1174
2010,  46 - 60,Pre-Primary,male,771
2010,  More Than 60,Pre-Primary,male,130
2010,  Up To 15,Primary,male,99227
2010,  16 - 30,Primary,male,35339
2010,  31 - 45,Primary,male,6759
2010,  46 - 60,Primary,male,3621
2010,  More Than 60,Primary,male,763
2010,  Up To 15,Secondary,male,44179
2010,  16 - 30,Secondary,male,48515
2010,  31 - 45,Secondary,male,15090
2010,  46 - 60,Secondary,male,8852
2010,  More Than 60,Secondary,male,2697
2010,  Up To 15,Post-Secondary (Non-Tertiary),male,3176
2010,  16 - 30,Post-Secondary (Non-Tertiary),male,9614
2010,  31 - 45,Post-Secondary (Non-Tertiary),male,6628
2010,  46 - 60,Post-Secondary (Non-Tertiary),male,6164
